content,score
Baguussss,5
kenapa g terbuka wa saya padahal saya udh masukan verifikasi dua langkah,3
er e4,3
Gak enak wa anj,1
"Gara gara Ni Apk,Rank Mobile Legend Gw Turun Ke Epig Anjg🗿",1
waww🤩😍!!!,5
GK bisa nelpon klo GK ada kuota,1
Tidak perlu kata kata,1
Mantap,5
Kenapa versi yg ini kualitasnya masih bagus yg versi sebelumnya padahal saya menggunakan sim card yg sama untuk datanya... Mohon bantuannya untuk diperbaiki terima kasih,1
Bagus,1
Baik,5
ga ada masalah sih cuma gw gabut aja jadi gw kasih bintang 1 🗿,1
Aktip kan whatsapp,5
Whatsapp nya suka erorr,1
"Apli nya bagus, beri saya uang 5jt akan saya kasih bintang 5",5
TOLONG BAGI PIHAK WA TOLONG PERBAIKI SAYA PAS BUAT SW SW SAYA TAMPAK BURAM TOLONG PERBAIKI,1
Gabut,1
B7 jgn pulang ubah,3
Apk gk guna,1
☺🙏🏻,1
Jelek,1
Sanget baik,5
Jelek,1
Buruk,1
Aplikasi kon apa gak terima sin by one dek,1
Tue,1
"Kenapa si daftar aja ribet banget susah ga ngirim ngirim kode , tolol ANJ susah udah 10 jam. Nunggu kode",1
"Setelah dipulihkan, harus pakai official WA?tapi tetep ga bisa masuk",2
Nggak guna,1
🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿,1
Mantap,5
B aja,1
Iya,2
Yhh NIH WHATSAPP EMG KG DANTA. Masa NO GW KEKENON MULU YHH MANA KEAMANAN MANA F,1
Sip aplikasi ny,5
Verifikasi,5
W🤲📢😴,5
Kerja harian,2
Piou,5
Wachap tdak terdaftar,5
"Saya punya saran, Arsipnya akan lebih baik memiliki pengamanan seperti sandi agar yg terprivasi tidak terbuka/dilihat oleh orang lain. Terimakasih",4
Sangat membantu,5
Mantaaap,1
Bagus,1
mantap,5
kurang suka dengan tampilan yg sekarang notif chat status dibawah. gimana cara biar diatas aja,4
mudah untuk komunikasi,2
Ok.,5
Uladan,2
Saya baru coba klo benar bagus Pasti akan saya tambah bintang,4
Bagus,5
Bos wa Ap saya ilang,5
bagus sekali,5
Apk rusak,1
Bagus,5
Saya senang dan saya bahagia menggunakan whatsapp ini,5
Sangat bagus bisa membantu,5
Pas diupdate kok fitur kunci chat nya nggak berfungsi Tolong diperbaiki lagi🙏🙏,1
Iii,4
"lebih suka model yang lama,dripada yang sekarang lebih ribett",1
Manfaatny mantap,5
Terkadang muncul kata2 menghubungkan ulang trus suara lawan bicara kadang tidak jelas kami sebagai pelanggan dari INDOSAT mohon untuk secepatnya di benahi mhn maaf apabila ad kata2 yg kurang berkenan di hati semua operator trim's,4
Sangat bagus,5
"Whatsapp scam using ApK sending , please diallowed to send APK",1
🤙,3
"maaf yah ini kenapa saya mau login tetep ga bisa, katanya harus wa official padahal aku download ya ini. wa mana lagi coba? trus nunggu kode verifikasi jg minimal 2 jam kalo SMS 6 jam, katanya ada masalah sama play store pdhl jg udh update semua gimana ya tolong nih gabisa login dari kemarin",1
Kurang baik kadang lemot,1
Sangattt sangggat sangatt awa gtw ngejelasinnya,5
Sangat membantu,5
Klw mau pos status gagal trus,1
Sangat memudahkan berkomunikasi .. Saran saya tampilan depan awal buka whatsapp nya bisa diganti temanya jadi tidak merasa bosan,5
Alhamdulilah selalu baik what ap nya..,5
Bagus,5
Baik,5
Goodd...,5
Oke,5
Ku kasih bintang 3 karena belum Tau Perbarui seperti apa sekarang kualitasnya terimakasih banyak WhatsApp,5
Bagus bangettt,5
Sangat memuaskan,5
Sering minta di up date,5
Luarbiasa,5
Mantap👍,5
Tolong dong di perbaiki gimana si makin ke sni mkin sulit aja untuk di gunain hapus aja kalau begitu!!!!!,1
Aplikasi ini sangat bagus untuk saya,5
Biarkan bintang bicara,3
Keren,5
Terima kasih Google,1
Sulit memperbaharui watsApp,5
Luar bisa,5
Sangat bagus,1
Bagus,5
mantabzzz,5
Minta di update ko muter2,1
Bismillaah,5
"Bagus sih aplikasi nya buat vcall jarak jauh,cuman sering terjadi eror.padahal selalu di update",1
Sangat membantu,5
Aku kasih bintan 4 ajah dulu soalnya lagi elor,4
Bagus,1
Terus upgrade yah bestie,3
Layar,5
Bagus,5
Lumayan bagus,5
Aplikasi ini sangat bagus👍👍👍👍👍👍👍👍💕👍👍👍👍👍👍👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍,5
Good job,5
"Tolong Bpk atau ibu"" semoga ujian ini benar, & Aku dapat Rp 50.000.000, beneran. Allahu maqfirlli ilaimiqtariq. Amiin...🤲🤲🤲🙏🏻🙏🏻🙏🏻🤝🤝🤝👍👍👍",5
"Kenapa whatsapp yg versi sekarang harus simpen foto manual? galeri atau foto² saya yang dari chat whatsapp itu hilang semua, saya kira cuma saya yg seperti ini, pas liat ulasan apl Wa di playstore ternyata banyak yg ngalamin fitur nya bikin PR.",1
Menyenangkan pake wa,5
Kurang bagus,4
Mantap,5
Ok,3
bagus dan praktis,5
Bagus sekali,5
Sangat baik,5
Di bidang. Bangunan,5
Kasi bintang 5 soalnya semua org butuh whatsapp,5
KmIn gggg.g,1
Good,5
Bikin ribet. Lama lagi nunggunya,1
Ful,5
sangat bermanfaat,5
Ok good aplication bro,5
Di apdet 5 juni masak sekarang sudah pembaharuan apdet lagi Klu tidak faham sy jadul data yg di dalam wa nan hilang semua,1
Menyenangkan,5
Move On,5
Bagus,5
Mantap 👍🏻,5
Bagus,3
"Hallo wangsaff aku maw minta tolong, tolong baned wangsaf bila 10 menit karna dia gamau ngasih hutang ke aku, padahal aku sangat ingin gelori 1k plis wangsaf kamu kan baik bgt",5
Mantap aplikasinya memuaskan,5
Wau,5
Sangat begunah,5
Memuaskan,5
ACHLAN,5
Cukup puas,4
Mangkin parah ni aplikasi tak ada kualitas,1
bagus 👍,5
WoW,5
Sementara sering problem,1
Update ngk rekomendasi mendingan versi yg kemarin,2
Update gak bisa,2
Muantappp,5
Penilaian saya: 10000000000000000000000000000000+,5
Baik sekali,5
Bagus,5
Antok bae,5
Oke si,5
Mantap,5
WhatsApp bagus bagus bangeeeeettttttttt,4
Sibuk,4
Mantap,5
Wa nya sangat bagu,5
Bagus sngat memuaskan,3
medsos no.1 di indonesia,5
Puas,5
Baguss,5
Whatsapp udh gak jelas mksdnya apa coba akun saya tidk bsa di gunakan. Ada yg melaporkan nomor saya.mlh nomor saya gk bsa di gunakn. Kecewa sekali,1
Apk sangat bermanfaat,1
makin keren,5
status video org yg di kirim kan gk bisa di buka,1
Debest WhatsaApp ini debest bngt lah pokok nya love love💚,5
maju terus .. stiap upgrade harus spesifikasi,5
Bagus,5
Mantap,5
membantu,5
"Skrg kurang baik dn kurang bguss deh, krna terakhir aku update saat 5 juni lah ini 9 juni harus udh di update lgi,, gmn si trs juga apk di hpku sdkit bgt, cuma demi nge update whtsaap, 2 apk kesayanganku hrs dihapuusss krna klo cm 1 yg dihapus ga bisa buat update iihhh 😒",1
"Tolong diperhatikan, saya membuat komunitas di grup tapi karena saya cuman iseng saya membuat komunitas tapi ada penguman , saya pengen hapus pengumuna tapi harus di nonaktifkan jadi saya lupa saya pencet keluar komunitas jadi pengumuman nya gak bisa di hapus karena harus di nonaktifkan jadi permanen tu pengumumannya gak bisa keluar gak bisa di paksa. Tolong bisa keluar dari pengumumannya soal nya jadi permanen gak bisa keluar haruskah di nonaktifkan, komunitas nya udah ke hapus",2
Mantaaapp,3
Y bagus aman dan y GG,5
Terlalau sering diperbarui,4
bagus ya wa nya,1
Siiip,4
Sangat membantu,3
Menurut aku sih bangus banget sih,5
Bagus,5
😘😘😘😘😘,5
Adit tia,1
Wa saya tiba² di bandung gak jelas,1
Aplikasi initiative jelek,1
Bagud,5
Pariyo,5
grafik nya buremm bangett apalagi kalau bikin sg,3
Karna bagus,2
Bagus,1
Keren,5
Bagus,5
Kepada pihak developer WhatsApp tolong status WhatsApp di buat lebih lama lagi jagan 30 detik dan kirim lagu jagan 16 mb aku mau kirim lagu di atas 16 mb gk bisa tolong di buat 100 mb terima kasih,5
Goog game,5
Bagus,5
Is the best pokoknya,5
Baik good,5
Atina putri,5
Jadi mudah berkomunikasi dan share informasi,5
Bagus bangat,4
Gak pernah yoba,4
Sangt mantap,5
ini wa knp si? ko ngedukung banget buat perselingkuhan pake segala ada fitur kunci cht😒,3
👍,3
Masih ada 3 hal penting yg saya kira perlu diperhatikan juga a.l: 1) tambahkan donk pilihan untuk menyimpan media ke SD card. 2) Kualitas Video dan Foto (Media) yg di kirim kalo bisa mengakomodir kwalitas HD. 3) tambahkan fitur untuk admin grup bisa mengontrol member grupnya salah satunya member dlm grup tidak keluar masuk grup tanpa diijinkan dl oleh admin grup. bintang 5 kalo sudah di akomodir,1
Bagus Knp selalu Di block whatsapp,5
Kenapa wa nya gk bisa update gimana ini,2
yang sudah ada,5
Baik,5
Bisa,5
Wasaf cukup membantu di bidang informasi yg bersifat mendunia . Yg harus tetap kita wasfadahi siapa tau ada pihak yg menyalagunakan layanan wasaf ini yg merusak persendian teknelogi dan enformasi yg dikelolah oleh wasaf mksih,5
Astagfirullah hal azim,5
