content,score
"Bos,update mulu kenapa ya Bos",3
Top,5
Oke,5
bgs,5
sngt bagus,5
Knp klo kirim cht pasti ada tanda serunya muncul kek gagal khi terkirim psnkhu,1
Lemot,1
Sangat bagus cocok untuk saya,5
Lumayan,5
asik,5
Semoga sukses selalu,5
"Diblokir kok masih ada pp nya, aneh lu pada yg kerja di WhatsApp",1
"SEMUA CHT GUE ILANG DOKUMEN,FOTO,DLL PADAHAL UDAH DI CADANGIN TPI TTP AJA GA BISA DI BALIKIN CHT² YG DULU PERCUMA TIAP HARI DI CADANGIN TIAP JAM 2 TAPI GA ADA HASIL KECEWAAAAAAAAAAA",1
Game eror,1
MMM aedalah i o Lpl Pp L Lll,5
Suka,5
Ok,5
Ga guna,5
"Video call gambarnya gak jelas, walaupun jaringan udah bagus. Udah update terus bug video call terjeda belum di perbaiki.",1
❤️,5
WhatsApp sekarang banyak bug maupun eror misalnya info di WhatsApp saya ini sedangkan di orang lain berbeda,3
Ko g bsa d dounlod,5
Keren,4
Sangatlah baik,5
Sangat memuaskan,5
Pye to iki? percuma download tpi Ra enek seng ngecht :),4
"Kenapa sekarang mah kalo telponan d wa ngk bisa lama""",2
WA makin lama gg asik setiap posting video kadang ada suaranya kadang gak ada tolong beri kenyamanan pengguna WA,1
Karena pas mau buka tautan ktnya hrus di perbarui gak jelas bet deh sory yah,2
Syukaaaaaaaaa,5
Jos,2
apps terbaik untuk hari ini,5
"please fix it, if I post a video, how come it's blurry?",1
"Mohon di baca pihak whatsapp tolong dong bacaan sedang membisukan kalo lagi telpon atau vc itu di perkecil ini terlalu besar jadinya mengganggu😃, tolong yaa pihak whatsapp🙏🙏",4
Bagus😍,5
Nyesel diperbaharui whatsApp malah jadi kaya gb,1
Tambah berantakan...tiba tiba akun tidak di izinkan karena ganti nomer. kenapa memberitahu nomer wa baru ke keluarga sekali kirim 10-15 saudara langgung diblokir tidak dapat menggunakan whatsapp..,1
Mantap,5
MY STICKER IS GONE PLS GIVE ME BACK MA STICKER ;-;,5
👍,5
Kenapa wa saya download ko lama,5
Aplikasi ini sangat bagus 😊,5
bisa buat silaturokhim,5
