content,score,Label
"Bos,update mulu kenapa ya Bos",3,netral
Top,5,positif
Oke,5,positif
bgs,5,positif
sngt bagus,5,positif
Knp klo kirim cht pasti ada tanda serunya muncul kek gagal khi terkirim psnkhu,1,negatif
Lemot,1,negatif
Sangat bagus cocok untuk saya,5,positif
Lumayan,5,positif
asik,5,positif
Semoga sukses selalu,5,positif
"Diblokir kok masih ada pp nya, aneh lu pada yg kerja di WhatsApp",1,negatif
"SEMUA CHT GUE ILANG DOKUMEN,FOTO,DLL PADAHAL UDAH DI CADANGIN TPI TTP AJA GA BISA DI BALIKIN CHT² YG DULU PERCUMA TIAP HARI DI CADANGIN TIAP JAM 2 TAPI GA ADA HASIL KECEWAAAAAAAAAAA",1,negatif
Game eror,1,negatif
MMM aedalah i o Lpl Pp L Lll,5,positif
Suka,5,positif
Ok,5,positif
Ga guna,5,positif
"Video call gambarnya gak jelas, walaupun jaringan udah bagus. Udah update terus bug video call terjeda belum di perbaiki.",1,negatif
❤️,5,positif
WhatsApp sekarang banyak bug maupun eror misalnya info di WhatsApp saya ini sedangkan di orang lain berbeda,3,netral
Ko g bsa d dounlod,5,positif
Keren,4,positif
Sangatlah baik,5,positif
Sangat memuaskan,5,positif
Pye to iki? percuma download tpi Ra enek seng ngecht :),4,positif
"Kenapa sekarang mah kalo telponan d wa ngk bisa lama""",2,positif
WA makin lama gg asik setiap posting video kadang ada suaranya kadang gak ada tolong beri kenyamanan pengguna WA,1,negatif
Karena pas mau buka tautan ktnya hrus di perbarui gak jelas bet deh sory yah,2,positif
Syukaaaaaaaaa,5,positif
Jos,2,positif
apps terbaik untuk hari ini,5,positif
"please fix it, if I post a video, how come it's blurry?",1,negatif
"Mohon di baca pihak whatsapp tolong dong bacaan sedang membisukan kalo lagi telpon atau vc itu di perkecil ini terlalu besar jadinya mengganggu😃, tolong yaa pihak whatsapp🙏🙏",4,positif
Bagus😍,5,positif
Nyesel diperbaharui whatsApp malah jadi kaya gb,1,negatif
Tambah berantakan...tiba tiba akun tidak di izinkan karena ganti nomer. kenapa memberitahu nomer wa baru ke keluarga sekali kirim 10-15 saudara langgung diblokir tidak dapat menggunakan whatsapp..,1,negatif
Mantap,5,positif
MY STICKER IS GONE PLS GIVE ME BACK MA STICKER ;-;,5,positif
👍,5,positif
Kenapa wa saya download ko lama,5,positif
Aplikasi ini sangat bagus 😊,5,positif
bisa buat silaturokhim,5,positif
"tolong ya ini kode Verifikasi nya kok tidak masuk masuk ya, padahal nomor saya masih aktif, mohon bantuan nya",2,positif
👍👍👍👍👍mantul,5,positif
bagus di pakai,3,netral
Bagus,5,positif
Bnyk bug,1,negatif
Mantap WA ya bagus bangat aq sukak,5,positif
Mantap,5,positif
"woy.. knp tiba"" akun saya tidak diizinkan..",1,negatif
Kata nya bisa kunci pesan. Tpi kenyataan ny ga bisa,4,positif
Ok,5,positif
Saya sangat puas menggunakan aplikasi wasapp,5,positif
Apk yang bagus,5,positif
"Mohon untuk status storynya diperpanjang lagi ya durasinya, jadi 45 detik atau 1 menit dan kualitas nya juga diperbagus lagi.",4,positif
Good,5,positif
mantap,5,positif
Mantap,5,positif
Mayan,5,positif
Whatsapppp,5,positif
Good,5,positif
Bisa ngga sih ngga keseringan update terus?,3,netral
Sangat membantu komunikasi dan segala keperluan dapa di tanggapi kmi bisa bicara kmi dikala mendesak,5,positif
fitur vc nya kedip kedip min,1,negatif
keren,4,positif
PLEASE DONG FILE DI WHATSAPP JANGAN ADA KALUWARSANYA! JADI MASIH BISA DI DOWNLOAD ULANG WALAU UDAH LAMA KEHAPUS DARI GALERI,1,negatif
Senag,5,positif
👍,5,positif
Cakep,5,positif
Wa ini tidak baik,2,positif
permisi maaf saya meminta help untuk emot ini 🛐 saya lihat seperti orang lagi mengemis tolong ditambahkan mangkok biar lebih enak dilihat,1,negatif
Kecewa banget karena selalu di Blokir,1,negatif
Keren dan mantul,5,positif
Orang lain,5,positif
Terbaik,5,positif
👍,4,positif
Yaa jadi itu WhatsApp perlu di tambah muaahahha acumalaka,5,positif
mmek hapus aja fitur 1x liat kentot,1,negatif
👍👍,5,positif
HP mati saat angkat tlp wa,5,positif
Saya gk mau whatssap ke bklo lagi,5,positif
"Sangat bagus, saya suka",4,positif
ok,5,positif
MAntap sekali,5,positif
Bagus,5,positif
🤣,1,negatif
"Kalo bisa bintang seperempat, mending segitu. Pokoknya wa jadi jelek banget, semakin di update semakin bikin emosi. Ga usah diapa-apain kenapa sihh anjirr, wa balik kek dulu aja kenapa sihh. Ngirim dokumen harus satu"", vc klo terjeda gabisa balik ngidupin kamera, kadang post pp baru jga susah bangett jadinya malah ngepost di story. Pliss lahh WA nya balik normal kek dulu lagi aja njirr.",1,negatif
Bermafaat,5,positif
Orang lain miskol kl tdk di buka whatsanya ga masuk,5,positif
"Apk Jelek Akun WhatsApp Gua ke Blokir,Tolong di Verifikasi EMG salah Gua ap?",1,negatif
OYYY APUSS FITUR SEKALI LIATTTTTTTT,1,negatif
Karena asyik,5,positif
Sangat bagus,5,positif
Oke banget,5,positif
its gòod,5,positif
"Semoga whatsap buat fitur arsip cerita kaya fb dan ig, supaya bisa liat foto lama yg dlu pernah dipasukin sw dan sekarang ilang",5,positif
Bolleh bagus,5,positif
Lambat,1,negatif
Mantap,5,positif
"WhatsApp kenapa sih? Aku mah simpan kontak nggak bisa. Padahal dikontak ada, tapi di WhatsApp nya masih Nomor. Gimana sih WhatsApp, tolong lah.",5,positif
Bagus,5,positif
Pertahankan,5,positif
💖💖💖💖,5,positif
Ok,2,positif
Aplikasi ini membuat saya sakit hati🥀😀,5,positif
wa bisa live stream biar enak,3,netral
"Penting untuk komunikasi jarak jauh, kwalitas vidio kiriman kurang bagus",4,positif
Diperbarui gk makin bagus. malah kualitas bentar2 jeda sendiri pas vc..buruk,1,negatif
Untuk pop up d android 11 tidak bisa mohon d perbaiki,1,negatif
Aplikasi ini dapat digunakan untuk melakukan hubungan seks dengan wanita lain,5,positif
Ko WhatsApp saya ga bisa terbuka..saya install ulang tidak dapet masuk,1,negatif
Sangat membantu untuk komunikasi,5,positif
"Burukkkkkkk, seketika kontak hilang, profil tidak ada",2,positif
Mencari cinta sejati,5,positif
Bgus,5,positif
Makasih,4,positif
Bagus,5,positif
Apk mantab buat chat ayang😂,5,positif
Selalu eror 1hari bisa 10x keluar,1,negatif
Mantap,5,positif
"Seiring pengalaman saya, alangkah baiknya fitur sekali lihat di WhatsApp itu dihapus biar saya bisa bersyukur unlimited min🙏",1,negatif
bgusss bgt,5,positif
Dafid Bapan,5,positif
App yg merakyat..,5,positif
Mantap banget,5,positif
Bagusss,5,positif
"Tolong tingkatkan kualitas gambar dan video, sebelum di upload bagus setelah di upload kualitasnya jelek padahal udah diatur mode kualitas terbaik.",1,negatif
Cepat untuk kirim berita,5,positif
"INIII GIMANA SI MASA MAU NGEREKAM VIDIO FORMAT TIDAK DIDUKUNG, MSKD????? PERBAIKI DONG MIN",1,negatif
Sy bintang tiga dulu,3,netral
KKKKKKKEEEEEEEEEPPPPPPPPOOOOOOOOOOOOO KEPO,4,positif
"Tolong untuk fitur story, diperbaiki supaya kwalitasnya hd ketika memposting foto/video",2,positif
Makin eror ini aplikasinya Whatsapp..,2,positif
